return_id,sale_id,Invoice,StockCode,Quantity,Price,InvoiceDate,CustomerID
1,,C489449,22087,12,2.95,2009-12-01 10:33:00,16321
2,,C489449,85206A,6,1.65,2009-12-01 10:33:00,16321
3,,C489449,21895,4,4.25,2009-12-01 10:33:00,16321
4,,C489449,21896,6,2.1,2009-12-01 10:33:00,16321
5,,C489449,22083,12,2.95,2009-12-01 10:33:00,16321
6,,C489449,21871,12,1.25,2009-12-01 10:33:00,16321
7,,C489449,84946,12,1.25,2009-12-01 10:33:00,16321
8,,C489449,84970S,24,0.85,2009-12-01 10:33:00,16321
9,,C489449,22090,12,2.95,2009-12-01 10:33:00,16321
10,,C489459,90082D,2,6.35,2009-12-01 10:44:00,17592
11,,C489459,90209A,3,2.1,2009-12-01 10:44:00,17592
12,,C489459,90003B,3,3.75,2009-12-01 10:44:00,17592
13,,C489459,90003D,3,3.75,2009-12-01 10:44:00,17592
14,,C489459,90003C,3,3.75,2009-12-01 10:44:00,17592
15,,C489459,90185B,3,4.25,2009-12-01 10:44:00,17592
16,,C489459,90209C,3,2.1,2009-12-01 10:44:00,17592
17,,C489459,90200C,3,4.25,2009-12-01 10:44:00,17592
18,,C489459,90200E,3,4.25,2009-12-01 10:44:00,17592
19,,C489459,90200B,3,4.25,2009-12-01 10:44:00,17592
20,,C489459,90185C,3,4.25,2009-12-01 10:44:00,17592
21,,C489459,90200D,3,4.25,2009-12-01 10:44:00,17592
22,,C489459,90200A,3,4.25,2009-12-01 10:44:00,17592
26,,C489476,22149,6,2.1,2009-12-01 10:55:00,13293
27,,C489503,21533,1,4.95,2009-12-01 11:04:00,16011
28,,C489503,21540,2,4.25,2009-12-01 11:04:00,16011
29,,C489504,85083,6,2.55,2009-12-01 11:10:00,13916
30,,C489518,20892,2,12.75,2009-12-01 11:35:00,15461
31,,C489518,85048,1,7.95,2009-12-01 11:35:00,15461
32,,C489518,22138,1,4.95,2009-12-01 11:35:00,15461
34,,C489524,21258,1,12.75,2009-12-01 11:48:00,15614
35,,C489527,21041,3,2.95,2009-12-01 11:50:00,16128
36,,C489527,21173,12,1.65,2009-12-01 11:50:00,16128
